nroDireccion,cutoff,n_meses_pre_cutoff,n_meses_post_cutoff,primer_mes,ultimo_mes_pre,primer_mes_post,total_facturado_pre,total_pagado_pre,total_pendiente_pre,ratio_pago_pre,ratio_pago_post,pct_pendiente_post,cumple_pago_heur,split,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
2,2025-01,62,17,2019-11,2024-12,2025-01,9553.68,8754.88,798.8,0.9594092608076338,1.0,0.0,1,train,-0.858367,0.13124436,0.3245676,0.48836476,-0.728604,-0.22409825,1.162827,0.7576876,1.3016781,-1.0584226,0.99002486,-1.1244578,0.3817524,-1.882534,-0.6024108,-0.5341033,-0.8014682,-0.09219433,1.2986313,-0.63021624,0.5898236,1.2655175,0.21709411,1.000669,-1.1873533,-0.026034944,0.57492405,0.85774755,-0.24573487,-1.193022,1.3118199,0.13154967
108,2025-01,20,8,2018-02,2024-09,2025-01,499.0,499.0,0.0,1.0,1.0,0.0,1,train,0.12650584,0.035848726,0.13402897,0.04031486,-0.020350091,0.11519867,0.07618525,-0.024326608,0.18094234,0.14353608,-0.062087834,0.063982464,0.065637216,-0.19396156,-0.050620258,0.064390495,-0.019299228,-0.019494362,0.35658273,-0.2647672,-0.012385284,0.19722359,-0.034529522,0.14861643,-0.06880572,0.1598216,-0.13271014,0.053829998,0.045883514,-0.0695075,0.1310492,0.0023273453
119,2025-01,10,2,2019-08,2023-11,2025-01,976.0,976.0,0.0,1.0,1.0,0.0,1,train,0.38740802,-0.21896172,0.08615942,0.13598394,0.22857624,-0.004807312,-0.21536663,-0.21032435,-0.12426532,0.29285106,-0.5042311,0.35016096,-0.04103922,0.12501936,0.5859544,0.33381754,-0.043387026,-0.008646101,-0.1971214,-0.21515214,-0.2951574,-0.5299442,-0.37099046,-0.1331583,0.42143637,0.3931272,-0.14111097,-0.26748765,0.055395298,0.07313136,-0.22270162,0.2644882
587,2025-01,6,4,2018-06,2024-01,2025-01,268.0,268.0,0.0,1.0,1.0,0.0,1,test,0.51748353,-0.40143806,0.07979017,0.13177598,0.33315894,-0.098574445,-0.2723498,-0.31894115,-0.2014474,0.3711956,-0.5731633,0.43009213,-0.13040444,0.1871335,0.8129138,0.47153953,-0.13721702,0.06518179,-0.37902328,-0.12247327,-0.51006013,-0.7424009,-0.43785483,-0.23744449,0.6397979,0.4762625,-0.18150274,-0.42467105,0.03171438,0.11345806,-0.3194687,0.3026995
615,2025-01,20,2,2019-06,2024-12,2025-03,5165.639999999999,5165.639999999999,0.0,1.0,1.0,0.0,1,train,0.1213723,-0.0005259998,0.12344286,0.05376637,-0.045558404,0.062166408,0.10591013,-0.038493097,0.21545196,0.14758003,-0.082272306,0.03607552,0.06725844,-0.2096513,-0.022792071,0.06792884,-0.054328393,-0.03245472,0.36896092,-0.26389432,0.0031057494,0.17266041,-0.06257187,0.13881299,-0.06773397,0.17012516,-0.12263922,0.0096452385,0.02595181,-0.07869448,0.12827855,0.033046894
620,2025-01,50,2,2018-01,2024-12,2025-01,18909.02,18649.670000000002,259.35,0.9856036997672447,1.0,0.0,1,train,-0.2904892,0.38473064,0.29769287,0.2141695,-0.36914545,0.17286144,0.43465698,0.3529553,0.6176063,-0.2367764,0.25228363,-0.44085473,0.2641729,-0.629462,-0.5215887,-0.25910586,-0.2179058,-0.11137185,0.74320185,-0.3531353,0.4072693,0.71536076,0.03809747,0.44191027,-0.71869427,-0.15545566,0.12976936,0.44925168,0.014341373,-0.43738383,0.6699553,-0.07331183
626,2025-01,14,1,2018-01,2024-01,2025-11,545.0,545.0,0.0,1.0,1.0,0.0,1,train,0.34795672,-0.22700155,0.06543931,0.09199955,0.21054429,-0.0057078116,-0.14117281,-0.22177038,-0.06980456,0.28680214,-0.3712046,0.30882353,-0.04776635,0.03875953,0.46783897,0.2937398,-0.039096337,0.015720148,-0.075870596,-0.220704,-0.29617715,-0.35043442,-0.25838512,-0.08404586,0.3715854,0.37566775,-0.16384383,-0.21851915,0.053343385,0.050786026,-0.16317186,0.18765345
637,2025-01,4,1,2018-02,2021-03,2026-04,141.3,141.3,0.0,1.0,1.0,0.0,1,test,0.56197435,-0.44015256,0.0879165,0.13585995,0.37488145,-0.1354836,-0.28866062,-0.32973817,-0.24449152,0.376536,-0.6099206,0.46531093,-0.164913,0.20675409,0.86828434,0.5064428,-0.15863755,0.08672002,-0.455101,-0.09113553,-0.56850034,-0.8057558,-0.4663936,-0.26297805,0.69041634,0.49833426,-0.1993714,-0.44932225,0.027106404,0.13074896,-0.34339562,0.305039
652,2025-01,38,1,2018-02,2024-07,2025-07,7948.590000000001,7948.590000000001,0.0,1.0,1.0,0.0,1,test,-0.19106703,0.6720105,0.4059378,0.2452806,-0.5146172,0.318971,0.11636032,0.57997316,0.49281394,-0.18053636,-0.15163773,-0.46287107,0.2851713,-0.20160381,-0.56379294,-0.3390072,-0.1240543,-0.19087364,0.38327494,-0.2716142,0.7426103,0.43182045,-0.31224692,0.31075326,-0.8618237,-0.4827285,0.1543131,0.46333274,-0.084036514,-0.28989637,0.52121776,0.11970474
656,2025-01,22,2,2018-12,2024-08,2025-01,5545.47,5545.47,0.0,1.0,1.0,0.0,1,test,0.025654823,0.11998709,0.19973356,0.112701476,-0.0880326,0.17294715,0.058768563,0.09058639,0.24297005,-0.014150803,-0.06988346,-0.039729152,0.1561948,-0.23429698,-0.10102968,0.010962889,-0.07582006,-0.07359272,0.32663408,-0.3149413,0.08987256,0.19748758,-0.11035786,0.18801531,-0.2225732,0.09169372,-0.018630067,0.18397026,0.046093866,-0.14937903,0.14533441,0.07028528
